,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49
FP1,0.2352888361600427,-0.07492394968439312,-0.2612760143858066,0.1329112455190643,-0.030480119212078695,0.00458074254604762,-0.2569101456363352,-0.13245121301919036,-0.017954823199643078,-0.1358999812664626,-0.3544911610326171,0.04303184044137751,-0.0460383170321619,0.22261184996084157,-0.30631147033233647,-0.09822950008791567,0.06027443474185027,0.10577517389573696,0.04748725021236206,0.08286470725443695,0.02527086048791269,-0.13087076260911445,0.08173780151735624,-0.11637450289887193,-0.0838329278319737,0.026775898123439345,-0.0651697240308786,0.13049911113825494,0.031620786440713804,0.08793770364937925,0.3441612891009971,-0.31245801239114657,0.34367783983215533,0.37580470996971976,-0.38567393827561225,0.11447595104614007,0.32870186120545886,-0.35041463464594974,0.280048057803435,-0.16045177027267274,-0.14437855046617842,0.07092319257681186,-0.1621695652654924,-0.07775804170220353,0.012039491071051867,0.1754833749985042,0.05571648174263752,-0.1805804346904445,0.06895692945249147,0.2050399842586736
FP2,0.23545537605100444,-0.027593320865981347,-0.26903435766402906,0.10345491562852925,0.05649281599671908,-0.007191116185781357,-0.29071168236983697,-0.09559143911426195,0.00329310061566667,-0.07978262222394514,-0.36160247699914927,0.06648391214748602,-0.00865567972934598,0.169675370341813,-0.3033188655611387,-0.10891449332431134,0.04317831822256133,0.0704037988894365,0.01667069642621829,0.12504845942177084,0.03841821807059253,-0.1510684996269525,-0.022322049185788208,-0.16548028560361103,-0.046202536828796416,0.06737356116332566,0.09703114683862508,0.11384408594990998,0.023236333572354554,0.09707181265528443,0.4121875421496308,-0.3704281449827832,0.4262622258708944,0.4440323842574609,-0.4503096183053066,0.1808999082790714,0.41086238785739115,-0.41729842724170585,0.2454049735091115,-0.15234883958766637,-0.13431689155785317,0.10097812153382808,-0.20611516116858575,-0.042733323047450915,0.02335915062058151,0.21225980638049094,0.11096863626826854,-0.1589168858621451,0.058012912766402226,0.2196291154514573
F3,0.17994426724205798,0.0027325493450069543,-0.2937002809052907,0.11205205699632483,-0.024177531153086657,0.1042809791068343,-0.23981430863697314,-0.19025929153539586,0.00701905827361367,-0.09728767509652979,-0.3478968391278895,-0.012993294194486096,-0.05575612771994237,0.18156180429922952,-0.3569431893072194,-0.03901199541462176,0.028881169010821186,0.08213982965372861,-0.010402658440561605,0.11662187047657555,0.021377836676430423,-0.08347257543548414,-0.010767104167648733,-0.08707532259276976,-0.06958440704392457,-0.02952182888667328,0.05877278149793602,0.18908969161822134,0.023272036657070626,0.1654426161615764,0.3948224100406514,-0.38180313596018756,0.4025530008127262,0.4213887974311591,-0.43195018967567694,0.15083378424035962,0.3687364067139526,-0.4159539713672104,0.31202103257024033,-0.1334546079814135,-0.19437055417267166,0.047491114337406375,-0.19011542816265584,-0.11874838111626633,0.0020871595942046203,0.21955549368316238,0.08879903462059019,-0.21188085477965535,0.13277521168113082,0.25210876465409693
F4,0.17727147552043576,0.03188979393811727,-0.25444803276792305,0.13967775406269667,-0.02883971934986695,0.06119534793683075,-0.2781093646735643,-0.11439674454240338,-0.0008996416068114098,-0.10092174741056831,-0.3500347093016775,0.05777350503964015,0.010079421367584909,0.2034089615276995,-0.28116601019847226,-0.055173167931338876,0.0307281686282426,0.0591306404226679,0.024705036904461,0.14943907174635127,0.028591888821934256,-0.11719408874455374,-0.004300973636174465,-0.15498308838549105,-0.03587757406711843,0.02302274148911866,0.1264496987331865,0.17651589852182728,0.03680684867185109,0.09559845908619483,0.4131120361753715,-0.36490244294336166,0.4431985966116731,0.4518754332407625,-0.4511883105382025,0.27085208865141996,0.41448180845396665,-0.436301928134715,0.2951845060809303,-0.17447505608377792,-0.2361384054533063,0.05718069165759922,-0.21626808287057758,-0.1671099797493242,0.030572456283057395,0.31734624387339266,0.14064394498928215,-0.22966837215949218,0.08451600516210414,0.31950023581286696
FZ,0.1560799930357122,0.015331140507653503,-0.24806072456815115,0.0912521112121946,0.05754515280450319,0.13727115040624482,-0.24791648929453844,-0.15815869173168903,-0.0009223519786697511,-0.0766231791728739,-0.28606984152652115,0.04358239968553618,-0.06533146884505622,0.2382470590252629,-0.3073221088249176,-0.037021978580935005,0.04136816273620879,0.10566859357185936,-0.04768061126734644,0.05263345193651826,0.016898973507614348,-0.09069920418649707,0.010780092265500517,-0.028613285382591034,-0.04010338604814763,0.003537203655337925,0.022861023692727793,0.13505641747635813,0.056552108230814434,0.0729663017467218,0.3681154042459063,-0.3947380180108696,0.3558984749990404,0.3799489642370633,-0.37885074486709086,0.17572629918266414,0.3191477284063759,-0.37560336062141947,0.29099434158088516,-0.12138997521595139,-0.25758254169162126,-0.030223825020565136,-0.22363756069466506,-0.16519389222823247,0.04642617535690529,0.18308872565248407,0.1481675981594432,-0.15742633700932696,0.1169606418824511,0.3028841609733022
F7,0.18154741110674724,-0.04080977891283691,-0.3003428018211982,0.11838103168196341,0.057058760444614734,0.038681120977064075,-0.2420881853325249,-0.14611969885848333,-0.012862267708047666,-0.0926187074321478,-0.3529483882289749,0.03500635333165784,-0.10560661222458602,0.20738474917823796,-0.3189535306011388,-0.03222724074044318,0.032518170974688745,0.07839581607906883,-0.030667897070021433,0.09709926242604748,0.014202524330041445,-0.14766672377431037,-0.06129338319889153,-0.1253797519571561,-0.011613362831388684,0.033257920813987506,0.03041790637297638,0.10380429524180905,0.05850354916063525,0.1307873245703389,0.3296701074135989,-0.31744613175451164,0.35070457436481633,0.35938163062279466,-0.36820068874382345,0.05938959610557715,0.33443169885879304,-0.3537370516174891,0.24472806026750096,-0.17212490381806397,-0.21041756676815943,-0.042720209843847716,-0.21420530902554713,-0.10976088535479048,0.009853770531965006,0.2147252495945095,0.09276752919610123,-0.19277124891336567,0.028538737145067956,0.29002008964443615
F8,0.21841285239164318,-0.06375795203579586,-0.29554350938371,0.13294578403177776,0.11331810485796001,0.017150410069964792,-0.28462913057003036,-0.09071294808373101,-0.031279478823714936,-0.09803032747554505,-0.3685283433063419,0.14546088153435757,-0.008287367519253309,0.19705919149508333,-0.2767248729592106,-0.06348461506142808,0.04417413275433459,0.0890807601398055,0.0315470185771574,0.1501059802983167,0.026810360096680683,-0.17036150587893253,0.026305845209052603,-0.08858077870607313,-0.06255607488637994,0.06430660300569165,0.04020826011377675,0.15488068631646898,0.003956703557011553,0.08383486372103952,0.3587680516405589,-0.3074612375657904,0.39012599505643675,0.40232975840927193,-0.4171791195048911,0.14527730287788648,0.3973267321217065,-0.39192604879541226,0.25463570122011797,-0.21216027752195835,-0.03978198230274888,0.138103271575569,-0.16826963213610802,-0.04558771940683155,0.03711437109599558,0.15223652547244385,0.03992752814262307,-0.1821995373358883,0.04630078560336194,0.13224090364062233
P3,0.23808522769909754,-0.11410792272994637,-0.38694230112528877,-0.03915175493089767,0.06595394205475383,0.004977228015049632,-0.26933050599591596,-0.15346470674431392,0.07401078856815942,-0.06141763066545311,-0.4367855185492789,0.1334323788708185,-0.016729928428091904,0.24928810548969088,-0.29479835984487596,-0.08718676639828761,-0.0471173991997598,0.013409953782745586,0.03862321745287839,0.04923603404107184,-0.006549543666937871,-0.115404167706864,-0.06427194275321466,-0.14715135330195303,-0.088672611510306,0.020068173828828282,0.13890785133657624,0.2539028045417831,0.07182905227892715,0.14711748381895037,0.4677121174511284,-0.42619405329486315,0.48089612119927205,0.4813184425601996,-0.4836323009145107,0.17021812086289573,0.4519935189456976,-0.4686710204692452,0.34963914718505557,-0.2234404551715146,-0.23075542995713846,-0.05450513060062334,-0.20125969673719038,-0.1503342789087502,0.05379208341068414,0.23122552346241101,0.18746349422082037,-0.2528010710902525,-0.008780172655732978,0.2643834461851248
P4,0.19345915035550043,-0.07809137740858553,-0.33104593817224237,0.08083298994099451,0.029118970688146707,0.01864803238149305,-0.23853825903419257,-0.20119211689592395,0.0668812604845557,-0.10272097754411731,-0.37988918470666305,0.15110078520621453,0.007771426441790481,0.22860948209966067,-0.19663354710802794,-0.1035336160090065,-0.06810464952571159,0.031648028929394056,-0.03618893045383249,0.17408728669677226,-0.03704924278400522,-0.13934245422062344,-0.04052480617568508,-0.15400403417780933,-0.12269857703110629,0.07464464111020773,0.16574462037153123,0.25508167122279735,0.06489393461943856,0.11308683112798502,0.46820797451695906,-0.45600026049279746,0.47528415218485026,0.4935102603535986,-0.4732207935384864,0.2817629113240255,0.4471434196180574,-0.4836111282553507,0.32456021911194766,-0.23922738696394208,-0.24631655336836794,0.03631893955430685,-0.17801886516357615,-0.13495826835450336,0.0016807992356520536,0.2731027276198852,0.12134414070773085,-0.2670150161847606,0.04510330606770445,0.2904418370618201
PZ,0.24433213105345034,-0.10823724517785689,-0.369268558248518,0.046883405051442534,-0.04793871506003226,0.0612940613737542,-0.26956773802868556,-0.16173302516174853,0.059567410171164265,-0.061774680180707704,-0.41123790508705454,0.1473712722875684,-0.06050814443988836,0.20061031042908598,-0.2815615504706523,-0.09155728574478249,-0.07998714209690393,0.0533686703672839,-0.05044469359295094,0.11786012481953415,-0.06731100552122414,-0.08008620465114681,-0.14466172869386584,-0.14705982231939582,-0.1461446903123279,0.09992391494785265,0.1786527201576314,0.16484162052937926,0.006213527474021397,0.12383962570274304,0.45460683975842825,-0.41400104841770075,0.45568895879828153,0.47773039970467623,-0.471201803560136,0.20208658057570747,0.44943984016437444,-0.4579023590136445,0.29658061563685273,-0.19500487729114038,-0.22641488205633917,0.07499830218267035,-0.256500250903449,-0.14611466946957688,0.04515743230656438,0.23636249771725218,0.1245308788700052,-0.22174978892309602,0.006781559781910817,0.2953293770407666
C3,0.2612856013225551,-0.10737125688345404,-0.3775258595127098,-0.034157854743196624,0.0019336303107005386,-0.008621876742049582,-0.31384367846185734,-0.13920991160549795,0.044715525996882936,-0.05499240022427551,-0.4354232573150935,0.11700000160382304,-0.03299169771497797,0.15072231958760257,-0.25930103926495573,-0.11267388803104081,-0.03458984409447644,0.0626528003006609,-0.03691560259479096,0.08142336796810022,0.013777031227697386,-0.1535209624454997,-0.05080465564226432,-0.16964149757886635,-0.14631538570431335,0.048744767201445584,0.0946513547385879,0.20405085408196463,0.04859478857822506,0.2117532654333785,0.4366886047726548,-0.39911822636531674,0.444498738508181,0.473207465516715,-0.48977556902288505,0.1863668237133735,0.45782590810963825,-0.4622972872539316,0.3684523874256429,-0.21707794366684083,-0.23935807402924889,0.0007616020579924015,-0.1778655917458969,-0.16977006744873754,0.049804333784241143,0.2718410779526252,0.10957161586350217,-0.21692667768501106,0.044643563827887596,0.3093050544104798
